Area,Utility Group,Utility,Indicator Category,Indicator Sub Category,Indicator Code,Indicator Name,Unit,Footnote (2019-2020),2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Transfers,W14.3,"Volume of water, excluding recycled water, exported to other service providers or operational areas within the urban water supply system",ML,,3451,3082,2897,,,,,,,,,,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Transfers,W15,Volume of recycled water exported to other service providers or operational areas within the urban water supply system,ML,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Wastewater collected,W16,"Volume of wastewater, excluding trade waste, collected",ML,"Volume of trade waste collected is only collected for large cat 2 and 3 businesses, no data collected on cat 1 businesses so unable to calculate required data",No data,6070,6305,No data,No data,,,,,13214,,7630,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Wastewater collected,W17,Volume of trade waste collected,ML,"Volume of trade waste collected is only collected for large cat 2 and 3 businesses, no data collected on cat 1 businesses so unable to calculate required data",No data,No data,Not applicable,No data,No data,,,,,134,,,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Wastewater collected,W18,Total volume of wastewater collected,ML,,6117,6070,6305,No Data,No Data,6955,7197,10894,,13347,8548,7630,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Transfers,W18.1,Volume of wastewater exported to other service providers or operational areas within the urban wastewater system,ML,,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Transfers,W18.2,Volume of wastewater received from other service providers or operational areas within the urban wastewater system,ML,,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Extraction for sewer mining,W18.3,Volume of wastewater taken through sewer mining,ML,,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Inflow to plant,W18.4,Volume of wastewater inflow to wastewater treatment plants,ML,,6116,6070,6305,7462,6513,6955,7197,10894,9051,13347,,,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Wastewater collected,W19,Average volume of wastewater collected per property,ML/property,,202.4,No Data,210.1,No Data,No Data,238.3,251.9,296.1,,373.3,242.9,211.1,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Use,W21,Volume of recycled water supplied to non-residential customers,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",735,717,755,,,,,,,,,,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Use,W23,Volume of recycled water supplied as environmental flows,ML,,0,0,0,0,0,0,0,0,0,0,,0,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Use,W25.1,Volume of recycled water supplied to managed aquifer recharge,ML,,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Use,W26,Total volume of recycled water supplied,ML,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",735,717,755,,,,,,,,,,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Use,W27,Recycled water as a percentage of total wastewater collected,%,"Definition changed from 2017_18 based on the new handbook, new definition is not applicable to the historical data. ",12,11.9,12,,,,,,,,,,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Use,W28.4,Volume of urban stormwater supplied to residential customers,ML,,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Use,W28.5,Volume of urban stormwater supplied to non-residential customers,ML,,0,0,0,,,,,,,,,,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Outflow from plant,W30,Volume of wastewater losses and spills,ML,,46,47,20,,,,,,,,,,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Use,W29,Volume of treated wastewater disposals,ML,,6071,6049,6284,7462,6513,6955,7197,9087,9032,12032,,,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Use,W31,Volume of water returned to surface water or groundwater from the urban water supply system,ML,,0,0,0,,,,,,,,,,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Outflow from plant,W18.5,Volume of treated effluent outflow from wastewater treatment plants,ML,,6117,6044,6305,7462,6513,6955,7197,10760,9032,13347,,,,,,,,
Queensland,"Medium—20,000–50,000 connected properties",Rockhampton Regional Council,Water Resources,Use,W20,Volume of recycled water supplied to residential customers,ML,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Assets,Water Treatment Plants,A1,Number of water treatment plants providing full treatment,plants,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
New South Wales - Country,Bulk water authorities,Rous County council,Assets,Other Water Assets,A2,Length of water mains,km,,414,389,398,408,411,441,405,402,402,434,434,80,80,76,75,,,
New South Wales - Country,Bulk water authorities,Rous County council,Assets,Other Water Assets,A3,Number of properties served per km of water main,properties/km,,Not applicable,Not applicable,Not applicable,0,0,,,,404.2,381.6,365.6,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Assets,Wastewater assets,A4,Number of wastewater treatment plants,plants,,Not applicable,Not applicable,No data,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Assets,Wastewater assets,A5,Length of sewer mains and channels,Km,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Assets,Wastewater assets,A6,Number of properties served per km of sewer main,properties/km,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Assets,Water Main Breaks,A8,"Number of water main breaks, bursts, and leaks, per 100 km of water mains",mains breaks/100 km,,11.6,12.3,10.1,10,7.8,10.2,12.1,36.4,9,16.4,6,16.3,24,48,55,,,
New South Wales - Country,Bulk water authorities,Rous County council,Assets,Water Losses,A9,Infrastructure leakage index (ILI),ratio,,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Assets,Water Losses,A10,Real losses: service connections,L/service connection/day,,180,106,304,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Assets,Water Losses,A11,Real losses: water mains,kL/km water main/day,,0.9,0.6,1.6,1,0,1.4,2.5,2.6,6.2,2.7,1,4.76,1.4,0.6,0.4,,,
New South Wales - Country,Bulk water authorities,Rous County council,Assets,Wastewater breaks and chokes,A14,Number of sewer mains breaks and chokes per 100 km,breaks and chokes/100km,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Assets,Wastewater breaks and chokes,A15,"Number of property connection sewer breaks and chokes per 1,000 properties","breaks and chokes/1,000 properties",,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Assets,Water Main Breaks,IA8,"Number of water main breaks, bursts, and leaks",mains breaks,,48,48,40,41,32,45,49,43,36,66,26,13,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Connected Properties and Population,C1,Population receiving services: water supply,population 000s,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,113.06,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Connected Properties and Population,C2,Number of connected residential properties: water supply,population 000s,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Connected Properties and Population,C3,Number of connected non-residential properties: water supply,population 000s,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Connected Properties and Population,C4,Total number of connected properties: water supply,population 000s,,Not applicable,Not applicable,Not applicable,0,0,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Connected Properties and Population,C6,Number of connected residential properties: wastewater,population 000s,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Connected Properties and Population,C7,Number of connected non-residential properties: wastewater,population 000s,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Connected Properties and Population,C8,Total number of connected properties: wastewater,population 000s,,Not applicable,Not applicable,Not applicable,0,0,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Water quality complaints,C9,"Number of water quality complaints per 1,000 properties: water supply","complaints/1,000 properties",,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Water service complaints,C10,"Number of water service complaints per 1,000 properties","complaints/1,000 properties",,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Wastewater service complaints,C11,"Number of sewerage service complaints per 1,000 properties","complaints/1,000 properties",,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Billing and account complaints,C12,"Number of billing and account complaints per 1,000 properties: water supply and sewerage","complaints/1,000 properties",,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Total water and wastewater complaints,C13,"Number of water and sewerage complaints per 1,000 properties","complaints/1,000 properties",,Not applicable,Not applicable,Not applicable,,,,,,,,0,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Connect time to a telephone operator,C14,Percentage of calls answered by an operator within 30 seconds,%,,Not applicable,100,100,100,Not applicable,,,,,,,95,95,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Average duration of unplanned water supply interruptions,C15,Average duration of an unplanned interruption: water supply,minutes,,386,227,227,210,Not applicable,237,195,180,,,,,,180,180,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Water interruption frequency,C17,"Number of unplanned interruptions per 1,000 properties","interruptions/ 1,000 properties",,Not applicable,Not applicable,No data,,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Restrictions or legal action for non-payment of water bill,C18,"Number of restrictions for non-payment of water bills per 1,000 properties","restrictions/1,000 properties",,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Restrictions or legal action for non-payment of water bill,C19,Number of legal actions taken for non-payment of water bills per 1000 properties,"legal actions/1,000 properties",,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Water service complaints,IC10,Number of water service complaints.,complaints,,1,1,5,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Wastewater service complaints,IC11,Number of sewerage service complaints,complaints,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Billing and account complaints,IC12,Number of billing and account complaints: water supply and sewerage,complaints,,Not applicable,Not applicable,0,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Total water and wastewater complaints,IC13,Number of water and sewerage complaints,complaints,,Not applicable,Not applicable,8,Not applicable,Not applicable,,,,,,0,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Water interruption frequency,IC17,Number of unplanned interruptions: water supply,interruptions,,48,48,41,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Restrictions or legal action for non-payment of water bill,IC18,Number of restrictions for non-payment of water bills,restrictions,,1,1,0,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Restrictions or legal action for non-payment of water bill,IC19,Number of legal actions taken for non-payment of water bills,legal actions,,0,0,0,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Customers,Water quality complaints,IC9,Number of water quality complaints: water supply,complaints,,0,0,3,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Environment,Comparative wastewater treatment levels,E1,Percentage of wastewater only treated to a primary level,%,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Environment,Comparative wastewater treatment levels,E2,Percentage of wastewater only treated to a secondary level,%,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Environment,Comparative wastewater treatment levels,E3,Percentage of wastewater treated to a tertiary level,%,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Environment,Biosolids reuse,E8,Percentage of biosolids reused,%,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Environment,Net greenhouse gas emissions,E9,"Net greenhouse gas emissions per 1,000 properties: water supply","t CO2 equivalents/1,000 properties",,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Environment,Net greenhouse gas emissions,E9.1,Net greenhouse gas emissions per ML: water supply - bulk utility,t CO2 equivalents/ML,,0.4,0.4,2.72,0.428240328,,0.4,0.4,0.4,0.4,0.4,0.4,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Environment,Net greenhouse gas emissions,E10,"Net greenhouse gas emissions per 1,000 properties: wastewater","t CO2 equivalents/1,000 properties",,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Environment,Net greenhouse gas emissions,E10.1,Net greenhouse gas emissions per ML: wastewater - bulk utility,t CO2 equivalents/ML,,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Environment,Net greenhouse gas emissions,E11,"Net greenhouse gas emissions per 1,000 properties: other","t CO2 equivalents/1,000 properties",,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Environment,Net greenhouse gas emissions,E11.1,Net greenhouse gas emissions per ML: other - bulk utility,t CO2 equivalents/ML,,Not applicable,Not applicable,0.313,Not applicable,,0,0.02,0.4,0.4,0.3,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Environment,Net greenhouse gas emissions,E12,"Total net greenhouse gas emissions per 1,000 properties","t CO2 equivalents/1,000 properties",,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Environment,Net greenhouse gas emissions,E12.1,Total net greenhouse gas emissions per ML: bulk utility,t CO2 equivalents/ML,,Not applicable,Not applicable,3.033,Not applicable,,0.4,0.6,0.8,0.7,0.7,0.4,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Environment,Comparative wastewater treatment levels,IE1,Volume of wastewater only treated to a primary level,ML,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Environment,Net greenhouse gas emissions,IE10,Net greenhouse gas emissions: wastewater,t CO2 equivalents,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Environment,Net greenhouse gas emissions,IE11,Net greenhouse gas emissions: other,t CO2 equivalents,,Not applicable,Not applicable,423,336,355,434,178,4541,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Environment,Net greenhouse gas emissions,IE12,Total net greenhouse gas emissions,ML,,Not applicable,Not applicable,4101,5140,4268,4826,6732,9174,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Environment,Comparative wastewater treatment levels,IE2,Volume of wastewater only treated to a secondary level,ML,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Environment,Comparative wastewater treatment levels,IE3,Volume of wastewater treated to a tertiary level,ML,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Environment,Net greenhouse gas emissions,IE9,Net greenhouse gas emissions: water supply,t CO2 equivalents,,4761,4761,3678,4804,3913,4392,4955,4633,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Revenue,F1,Total revenue: water supply,$ 000s,,25470,25732.315,28198.926,24250.277,28405.263,24918.475,24793.862,22447.976,23434.236,21090.962,20183.076,17285.383,15862.043,12625.68,14949.544,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Revenue,F2,Total revenue: wastewater,$ 000s,,Not applicable,Not applicable,0,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Revenue,F3,Total income for the utility,$ 000s,,Not applicable,Not applicable,26972.124,23061.754,28970.165,24726.852,24444.793,22125.626,23365.985,20909.899,18173.31,16734.758,15862.043,12821.313,13424.444,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Revenue,F4,Percentage of residential revenue from usage charges: water supply,%,,0,0,0,0,Not applicable,,,,,,,,4.9,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Revenue,F5,Revenue per property: water supply,$/property,,Not applicable,Not applicable,Not applicable,,,,,,490.48,442.16,441.64,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Revenue,F5.1,Revenue per ML: water supply - bulk utility,$/ML,,2124,2200.01,20857.19,Not applicable,,2228.01,2151.68,2026.84,2105.36,1752.65,1633.93,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Revenue,F6,Revenue per property: wastewater,$/property,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Revenue,F6.1,Revenue per ML: wastewater - bulk utility,$/ML,,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Revenue,F7,Total income per property,$/property,,Not applicable,Not applicable,Not applicable,,,,,,489.32,438.36,397.67,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Revenue,F7.1,Total income per ML: bulk utility,$/ML,,Not applicable,Not applicable,19949.79,Not applicable,,2210.69,2121.95,1997.44,2098.42,1737.26,1470.41,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Revenue from community service obligations (CSOs),F8,Community service obligations ratio,ratio,,Not applicable,Not applicable,0.0004,0.0005,0.0004,0.0004,0.0005,0.0005,0.0005,0.0006,0.0008,0.0005,0.0008,0.0011,0.0011,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Costs,F9,Written-down replacement cost of fixed water supply assets,$ 000s,,352230,364507.519,360796.068,365684.985,350567.934,352600.151,348420.057,350085.274,352939.854,372556.904,378460.735,394605.916,397274.648,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Costs,F10,Written-down replacement cost of fixed wastewater assets,$ 000s,,Not applicable,Not applicable,0,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Costs,F11,Operating cost per property: water supply,$/property,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Costs,F11.1,Operating cost per ML: water supply - bulk utility,$/ML,,1169,1022.48,7830.59,894.54,,1069.62,1062.63,1086.94,953.19,891.12,921.3,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Costs,F12,Operating cost per property: wastewater,$/property,,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Costs,F12.1,Operating cost per ML: wastewater—bulk utility,$/ML,,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Costs,F13,Combined operating cost per property: water supply and wastewater,$/property,,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Costs,F13.1,Combined operating cost per ML: water supply and wastewater - bulk utility,$/ML,,Not applicable,Not applicable,Not applicable,Not applicable,,1069.62,1062.63,1086.94,953.19,891.12,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Capital Expenditure,F14,Capital expenditure: water supply,$ 000s,,8347,9470.886,8228.12,7334.824,12077.576,13121.254,6097.158,2827.628,3333.866,5514.751,6092.751,4588.543,20113.379,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Capital Expenditure,F15,Capital expenditure: wastewater,$ 000s,,Not applicable,Not applicable,0,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Capital Expenditure,F16,Total capital expenditure: water supply and wastewater,$ 000s,,Not applicable,Not applicable,8228,Not applicable,12078,13121,6097,2828,3334,5909,6093,,20113,43244,13942,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Capital Expenditure,F28,Capital expenditure per property: water supply,$/property,,Not applicable,Not applicable,Not applicable,Not applicable,,,,,69.41,115.61,133.32,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Capital Expenditure,F28.1,Capital expenditure per ML: water supply - bulk utility,$/ML,,Not applicable,Not applicable,6085.88,653.84,,1173.55,529.66,2065.3,299.61,457.98,492.98,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Capital Expenditure,F29,Capital expenditure per property: wastewater,$/property,,Not applicable,Not applicable,0,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Capital Expenditure,F29.1,Capital expenditure per ML: wastewater - bulk utility,$/ML,,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Economic real rate of return,F17,Economic real rate of return: water supply,ratio,,1.4,2.1,3.2,2.3,3,1.8,1.7,1.1,1,0.3,-0.4,-0.35,-0.2,0.3,0.5,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Economic real rate of return,F18,Economic real rate of return: wastewater,ratio,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Economic real rate of return,F19,Economic real rate of return: water supply and wastewater,ratio,,Not applicable,Not applicable,3.2,Not applicable,Not applicable,,,,,,,,-0.2,0.3,0.5,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Dividends,F20,Dividends,$ 000s,,Not applicable,Not applicable,0,0,0,0,0,0,,0,0,0,0,0,0,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Dividends,F21,Dividend payout ratio,ratio,,Not applicable,Not applicable,0,,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Net debt to equity,F22,Net debt to equity ratio,ratio,,Not applicable,Not applicable,-1.2,1,2.2,5.1,4.2,6.2,8.2,10.3,10.4,10.9,10.4,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Interest cover,F23,Interest cover ratio,ratio,,Not applicable,Not applicable,10.2,6.41,6,4,3,4.32,1.5,0.5,0,0,0,>100,>100,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Dividends,F24,Net profit after tax (NPAT),$ 000s,,Not applicable,Not applicable,8249.752,Not applicable,7708.932,2731.429,2081.204,632.258,-854.867,-3770.385,-7679.087,-6542.575,-14355.664,1346.81,2204.749,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Net profit after tax,F30,Net profit after tax ratio,ratio,,Not applicable,Not applicable,0.3059,0,0.2661,0.1105,0.0851,0.0286,-0.0366,-0.1803,-0.4225,-0.391,-0.905,0.105,0.1642,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Community service obligations (CSOs),F25,Community service obligations ($),$ 000s,,Not applicable,Not applicable,10.301,10.499,10.679,10.826,11.012,11.311,11.568,11.834,14.643,8.74,12.875,14.639,15.073,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Capital works grants,F26,Capital works grants: water supply,$ 000s,,0,0,0,0,0,0,0,0,0,0,2170.84,0,0,0,0,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Capital works grants,F27,Capital works grants: wastewater,$ 000s,,Not applicable,Not applicable,0,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Costs,IF11,Operating cost: water supply,$ 000s,,14015,11964.772,10586.958,10036.299,11428.313,11960.695,12238.363,12037.779,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Finance,Costs,IF12,Operating cost: wastewater,$ 000s,,Not applicable,Not applicable,0,0,Not applicable,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Public Health,Water quality compliance,H1,Water quality guidelines,provided as text,,Australian Drinking Water Guidelines in accordance with the NSW Public Health Act and Regulation (ADWQG ),Australian Drinking Water Guidelines in accordance with the NSW Public Health Act and Regulation( ADWQG ),Australian Drinking Water Guidelines in accordance with the NSW Public Health Act and Regulation( ADWQG ),ADWG 2011,ADWG 2011,ADWG 2011,ADWG 2011,ADWG 2011,ADWG 2004,ADWG 2004,ADWG 2004,ADWG 2004,ADWG 2004,ADWG 2004,ADWG 2004,,,
New South Wales - Country,Bulk water authorities,Rous County council,Public Health,Water quality compliance,H3,Percentage of population where microbiological compliance was achieved,%,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
New South Wales - Country,Bulk water authorities,Rous County council,Public Health,Water quality compliance,H4,Number of zones where chemical compliance was achieved,zones,,2,3,3,3 of 3,3 of 3,3 of 3,3 of 3,3 of 3,2 of 2,1 of 1,2 of 2,2 of 2,1 of 2,2 of 2,2 of 2,,,
New South Wales - Country,Bulk water authorities,Rous County council,Public Health,Water quality compliance,H4a,Total number of zones,zones,,2,3,3,,,,,,,,,,,,,,,
New South Wales - Country,Bulk water authorities,Rous County council,Public Health,Water quality compliance,H5,Risk-based drinking water management plan externally assessed,yes/no,,No,no,no,No,No,No,No,No,No,No,No,No,No,No,No,,,
New South Wales - Country,Bulk water authorities,Rous County council,Pricing,Residential tariff structure,P1,Tariff structure: water supply,provided as text,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a
New South Wales - Country,Bulk water authorities,Rous County council,Pricing,Residential tariff structure,P1.2,Fixed charge: water supply,$,,168.36,166.44,161.67,157.17,Not applicable,,,,,,,,,,,,,
